person_age,annual_inc,home_ownership,employment_length,loan_intent,loan_grade,loan_amt,interest_rate,target_flag,income_ratio,employment_type,residence_type,credit_score,monthly_income
24,28000.0,own,6.0,homeimprovement,b,10000.0,,0,0.36,employed,urban,679.0,1740.0
27,64000.0,rent,0.0,personal,c,10000.0,15.27,0,0.16,employed,urban,853.0,5880.0
26,,mortgage,,education,d,16000.0,,0,0.22,self_emp,rural,598.0,2340.0
25,63000.0,mortgage,2.0,homeimprovement,b,20000.0,9.99,0,0.32,employed,rural,855.0,4800.0
26,,rent,2.0,venture,b,6000.0,9.99,0,0.22,self_emp,rural,514.0,7620.0
30,40000.0,rent,8.0,venture,a,,5.79,0,0.06,self_emp,rural,890.0,7860.0
26,90000.0,rent,2.0,debtconsolidation,c,9600.0,13.85,0,0.11,employed,urban,667.0,4800.0
35,41235.0,own,7.0,medical,a,,7.14,0,0.07,self-employed,rural,541.0,4200.0
21,26400.0,rent,5.0,personal,c,4750.0,12.23,0,0.18,employed,rural,,5040.0
26,59500.0,mortgage,9.0,venture,a,12000.0,6.62,0,0.2,employed,urban,,13500.0
39,134000.0,mortgage,0.0,venture,b,25000.0,10.25,0,0.19,employed,urban,632.0,2340.0
22,60000.0,mortgage,6.0,venture,d,24250.0,15.31,0,0.4,employed,rural,515.0,6360.0
23,32000.0,rent,0.0,medical,c,8500.0,13.16,0,0.27,employed,rural,891.0,15660.0
25,30000.0,rent,1.0,education,c,5300.0,15.27,0,0.18,self_emp,rural,629.0,1500.0
24,148000.0,mortgage,8.0,debtconsolidation,d,25000.0,15.31,1,0.17,employed,rural,687.0,5940.0
26,190000.0,mortgage,3.0,venture,b,20000.0,12.18,0,0.11,employed,rural,829.0,6300.0
23,167300.0,mortgage,1.0,education,b,20000.0,12.21,0,0.12,employed,rural,713.0,1500.0
34,122400.0,mortgage,5.0,medical,b,6800.0,10.65,0,0.06,self-employed,rural,890.0,3840.0
23,,mortgage,5.0,medical,b,6000.0,9.99,0,0.05,self_emp,rural,617.0,6300.0
27,35000.0,rent,3.0,medical,a,,7.49,0,0.17,employed,urban,707.0,7860.0
32,52256.0,rent,13.0,personal,b,4400.0,,0,0.08,self-employed,urban,788.0,6060.0
36,408000.0,mortgage,12.0,homeimprovement,a,35000.0,7.9,0,0.09,self-employed,rural,585.0,2340.0
37,120000.0,mortgage,5.0,personal,a,5400.0,5.99,0,0.04,employed,rural,545.0,6240.0
24,60140.0,rent,2.0,venture,a,7000.0,8.59,0,0.12,self_emp,rural,633.0,6120.0
26,43000.0,rent,,medical,a,7800.0,,0,0.18,employed,urban,867.0,6720.0
27,88000.0,mortgage,,venture,b,14000.0,,0,0.16,self-employed,urban,704.0,2100.0
26,126000.0,mortgage,4.0,homeimprovement,c,7500.0,13.92,0,0.06,self_emp,urban,683.0,4680.0
24,63000.0,mortgage,8.0,personal,f,20000.0,19.13,0,0.32,self_emp,urban,664.0,2520.0
26,24000.0,rent,0.0,education,a,4800.0,,0,0.2,self_emp,rural,792.0,16680.0
22,33000.0,own,,personal,b,12000.0,9.91,0,0.36,employed,urban,808.0,4020.0
30,100000.0,rent,1.0,personal,b,1000.0,11.71,0,0.01,employed,rural,832.0,7260.0
32,65000.0,own,12.0,venture,b,10000.0,11.99,0,0.15,employed,urban,695.0,6120.0
32,,mortgage,2.0,medical,c,6000.0,14.27,0,0.1,self-employed,rural,,25620.0
25,37000.0,rent,0.0,debtconsolidation,c,7200.0,11.34,0,0.19,employed,rural,536.0,4800.0
23,40000.0,rent,3.0,education,b,10000.0,10.75,0,0.25,employed,rural,735.0,2340.0
31,80400.0,rent,0.0,debtconsolidation,a,12000.0,7.29,0,0.15,employed,urban,812.0,4920.0
31,135000.0,mortgage,12.0,medical,c,,,0,0.11,employed,rural,891.0,3060.0
22,64000.0,mortgage,1.0,debtconsolidation,a,6625.0,6.62,0,0.1,employed,urban,,9360.0
34,948000.0,mortgage,18.0,personal,b,2000.0,9.99,0,0.0,self-employed,urban,847.0,7800.0
34,103363.0,mortgage,4.0,debtconsolidation,b,15000.0,,0,0.15,employed,rural,780.0,5400.0
24,,rent,0.0,venture,a,12000.0,7.66,0,0.29,self-employed,rural,,6000.0
33,99000.0,mortgage,8.0,medical,b,24000.0,11.36,0,0.24,employed,urban,523.0,5940.0
25,29004.0,rent,5.0,personal,c,12000.0,12.84,1,0.41,employed,urban,719.0,6900.0
26,34000.0,rent,1.0,venture,c,,,0,0.16,employed,rural,593.0,12360.0
23,65000.0,mortgage,7.0,personal,a,5000.0,7.43,0,0.08,employed,rural,680.0,3480.0
22,,rent,6.0,personal,a,12000.0,7.29,0,0.17,employed,rural,690.0,9900.0
31,40000.0,rent,,medical,c,2500.0,13.23,0,0.06,self_emp,rural,512.0,5340.0
21,78000.0,rent,1.0,education,b,14275.0,9.91,0,0.18,employed,urban,612.0,5100.0
24,54996.0,rent,0.0,debtconsolidation,c,,12.87,0,0.23,self_emp,rural,616.0,14760.0
25,46000.0,rent,1.0,medical,b,9500.0,,0,0.21,self_emp,urban,897.0,20100.0
30,62496.0,mortgage,14.0,personal,b,,,0,0.05,employed,rural,507.0,10620.0
27,99000.0,mortgage,4.0,venture,a,9000.0,,0,0.09,self-employed,rural,632.0,9900.0
35,,rent,0.0,debtconsolidation,c,3400.0,13.06,0,0.07,employed,urban,743.0,5580.0
23,36996.0,own,4.0,medical,a,10000.0,7.51,0,0.27,self_emp,rural,812.0,6660.0
26,76000.0,rent,5.0,debtconsolidation,c,11800.0,13.11,0,0.16,employed,urban,775.0,1500.0
24,72000.0,rent,3.0,education,a,6000.0,7.66,0,0.08,self-employed,rural,849.0,6540.0
28,115000.0,rent,0.0,homeimprovement,a,2850.0,6.54,0,0.02,self-employed,rural,766.0,4620.0
24,26400.0,mortgage,0.0,debtconsolidation,a,6000.0,8.9,0,0.23,self-employed,rural,503.0,1320.0
29,40000.0,rent,1.0,debtconsolidation,a,3600.0,8.59,0,0.09,self_emp,urban,856.0,1500.0
24,,rent,0.0,education,b,3600.0,10.59,0,0.06,self-employed,rural,800.0,6540.0
22,33000.0,rent,6.0,education,b,,11.99,0,0.27,self-employed,urban,849.0,6600.0
22,54000.0,rent,4.0,venture,b,5600.0,9.63,0,0.1,employed,urban,787.0,11700.0
23,88000.0,mortgage,,venture,a,12475.0,6.03,0,0.14,employed,rural,,7680.0
22,39000.0,rent,3.0,medical,b,6600.0,,0,0.17,self_emp,rural,,1740.0
28,30422.0,own,12.0,personal,a,,8.49,0,0.16,employed,urban,552.0,1500.0
22,42996.0,rent,,personal,c,4800.0,11.03,0,0.11,employed,urban,549.0,6540.0
25,87000.0,mortgage,4.0,medical,b,13000.0,11.26,0,0.15,employed,urban,,1500.0
26,74000.0,rent,3.0,personal,b,9000.0,10.0,0,0.12,self-employed,urban,,8400.0
25,79000.0,own,3.0,venture,a,14000.0,6.92,0,0.18,self_emp,rural,625.0,7920.0
